round,cid,location,phase,loss,accuracy,num_samples
14,9,VA_Long_Beach,fit,0.5371,0.7381,42
14,6,Switzerland,fit,0.3688,0.8720,25
14,1,Cleveland,fit,0.4116,0.8531,64
14,0,Cleveland,fit,0.3601,0.9062,64
14,11,VA_Long_Beach,fit,0.5354,0.7209,43
14,5,Hungarian,fit,0.3870,0.9048,63
14,8,Switzerland,fit,0.4075,0.8519,27
14,2,Cleveland,fit,0.4889,0.7815,65
14,4,Hungarian,fit,0.4629,0.8226,62
14,7,Switzerland,fit,0.3383,0.8640,25
14,10,VA_Long_Beach,fit,0.5301,0.7857,42
14,3,Hungarian,fit,0.4839,0.7742,62
14,2,Cleveland,evaluate,0.0548,0.7647,17
14,7,Switzerland,evaluate,0.0477,0.8571,7
14,1,Cleveland,evaluate,0.0305,0.8125,16
14,8,Switzerland,evaluate,0.0806,0.7143,7
14,11,VA_Long_Beach,evaluate,0.0288,0.9091,11
14,3,Hungarian,evaluate,0.0243,0.9375,16
14,9,VA_Long_Beach,evaluate,0.0289,0.8182,11
14,10,VA_Long_Beach,evaluate,0.0625,0.5455,11
14,4,Hungarian,evaluate,0.0319,0.8125,16
14,6,Switzerland,evaluate,0.0651,0.8571,7
14,5,Hungarian,evaluate,0.0284,0.8125,16
14,0,Cleveland,evaluate,0.0339,0.7500,16
15,3,Hungarian,fit,0.4777,0.7774,62
15,6,Switzerland,fit,0.3518,0.8720,25
15,9,VA_Long_Beach,fit,0.5226,0.7333,42
15,10,VA_Long_Beach,fit,0.5462,0.8048,42
15,0,Cleveland,fit,0.3419,0.9062,64
15,1,Cleveland,fit,0.3972,0.8531,64
15,11,VA_Long_Beach,fit,0.5207,0.7209,43
15,5,Hungarian,fit,0.3667,0.9048,63
15,8,Switzerland,fit,0.3859,0.8519,27
15,7,Switzerland,fit,0.3449,0.8640,25
15,4,Hungarian,fit,0.4499,0.8226,62
15,2,Cleveland,fit,0.4874,0.7785,65
15,9,VA_Long_Beach,evaluate,0.0282,0.8182,11
15,7,Switzerland,evaluate,0.0456,0.8571,7
15,2,Cleveland,evaluate,0.0528,0.7647,17
15,6,Switzerland,evaluate,0.0627,0.8571,7
15,5,Hungarian,evaluate,0.0270,0.8125,16
15,11,VA_Long_Beach,evaluate,0.0281,0.9091,11
15,1,Cleveland,evaluate,0.0300,0.8125,16
15,4,Hungarian,evaluate,0.0313,0.8125,16
15,3,Hungarian,evaluate,0.0230,0.9375,16
15,10,VA_Long_Beach,evaluate,0.0635,0.5455,11
15,0,Cleveland,evaluate,0.0338,0.7500,16
15,8,Switzerland,evaluate,0.0817,0.7143,7
16,8,Switzerland,fit,0.3746,0.8519,27
16,9,VA_Long_Beach,fit,0.5273,0.7429,42
16,11,VA_Long_Beach,fit,0.5194,0.7209,43
16,2,Cleveland,fit,0.4470,0.7877,65
16,0,Cleveland,fit,0.3252,0.9062,64
16,5,Hungarian,fit,0.3507,0.9048,63
16,4,Hungarian,fit,0.4400,0.8226,62
16,7,Switzerland,fit,0.3375,0.8640,25
16,1,Cleveland,fit,0.3858,0.8625,64
16,10,VA_Long_Beach,fit,0.5385,0.8095,42
16,6,Switzerland,fit,0.3587,0.8640,25
16,3,Hungarian,fit,0.4720,0.7774,62
16,10,VA_Long_Beach,evaluate,0.0650,0.5455,11
16,3,Hungarian,evaluate,0.0219,0.9375,16
16,1,Cleveland,evaluate,0.0296,0.8125,16
16,8,Switzerland,evaluate,0.0832,0.7143,7
16,4,Hungarian,evaluate,0.0307,0.8125,16
16,0,Cleveland,evaluate,0.0338,0.7500,16
16,6,Switzerland,evaluate,0.0599,0.8571,7
16,7,Switzerland,evaluate,0.0435,0.8571,7
16,9,VA_Long_Beach,evaluate,0.0276,0.8182,11
16,2,Cleveland,evaluate,0.0512,0.7647,17
16,5,Hungarian,evaluate,0.0258,0.8125,16
16,11,VA_Long_Beach,evaluate,0.0276,0.9091,11
17,7,Switzerland,fit,0.3214,0.8640,25
17,3,Hungarian,fit,0.4600,0.7903,62
17,10,VA_Long_Beach,fit,0.5317,0.8095,42
17,0,Cleveland,fit,0.3106,0.9031,64
17,2,Cleveland,fit,0.4689,0.7877,65
17,1,Cleveland,fit,0.3762,0.8656,64
17,9,VA_Long_Beach,fit,0.5147,0.7476,42
17,8,Switzerland,fit,0.3630,0.8519,27
17,11,VA_Long_Beach,fit,0.5231,0.7209,43
17,6,Switzerland,fit,0.3309,0.8640,25
17,4,Hungarian,fit,0.4353,0.8226,62
17,5,Hungarian,fit,0.3342,0.9048,63
17,1,Cleveland,evaluate,0.0294,0.8750,16
17,7,Switzerland,evaluate,0.0419,0.8571,7
17,9,VA_Long_Beach,evaluate,0.0271,0.8182,11
17,3,Hungarian,evaluate,0.0210,0.9375,16
17,0,Cleveland,evaluate,0.0339,0.7500,16
17,10,VA_Long_Beach,evaluate,0.0661,0.5455,11
17,2,Cleveland,evaluate,0.0499,0.7647,17
17,4,Hungarian,evaluate,0.0303,0.8125,16
17,6,Switzerland,evaluate,0.0571,1.0000,7
17,8,Switzerland,evaluate,0.0843,0.7143,7
17,5,Hungarian,evaluate,0.0248,0.8125,16
17,11,VA_Long_Beach,evaluate,0.0273,0.9091,11
18,5,Hungarian,fit,0.3248,0.9048,63
18,10,VA_Long_Beach,fit,0.5655,0.8095,42
18,3,Hungarian,fit,0.4602,0.7903,62
18,7,Switzerland,fit,0.3091,0.8720,25
18,8,Switzerland,fit,0.3512,0.8519,27
18,11,VA_Long_Beach,fit,0.5341,0.7209,43
18,2,Cleveland,fit,0.3967,0.7908,65
18,0,Cleveland,fit,0.3007,0.9031,64
18,9,VA_Long_Beach,fit,0.5255,0.7476,42
18,6,Switzerland,fit,0.3315,0.8640,25
18,1,Cleveland,fit,0.3678,0.8656,64
18,4,Hungarian,fit,0.4322,0.8226,62
18,7,Switzerland,evaluate,0.0404,0.8571,7
18,11,VA_Long_Beach,evaluate,0.0270,0.9091,11
18,1,Cleveland,evaluate,0.0293,0.8750,16
18,9,VA_Long_Beach,evaluate,0.0267,0.8182,11
18,3,Hungarian,evaluate,0.0203,0.9375,16
18,10,VA_Long_Beach,evaluate,0.0670,0.5455,11
18,6,Switzerland,evaluate,0.0542,1.0000,7
18,8,Switzerland,evaluate,0.0853,0.7143,7
18,5,Hungarian,evaluate,0.0240,0.8125,16
18,0,Cleveland,evaluate,0.0342,0.7500,16
18,2,Cleveland,evaluate,0.0489,0.7647,17
18,4,Hungarian,evaluate,0.0299,0.8125,16
19,6,Switzerland,fit,0.2954,0.8880,25
19,11,VA_Long_Beach,fit,0.5475,0.7209,43
19,7,Switzerland,fit,0.2903,0.8720,25
19,8,Switzerland,fit,0.3330,0.8519,27
19,9,VA_Long_Beach,fit,0.5222,0.7476,42
19,1,Cleveland,fit,0.3592,0.8688,64
19,0,Cleveland,fit,0.2930,0.9000,64
19,4,Hungarian,fit,0.4268,0.8226,62
19,5,Hungarian,fit,0.3182,0.9016,63
19,3,Hungarian,fit,0.4510,0.7903,62
19,10,VA_Long_Beach,fit,0.5224,0.8095,42
19,2,Cleveland,fit,0.4087,0.7846,65
19,6,Switzerland,evaluate,0.0516,1.0000,7
19,4,Hungarian,evaluate,0.0296,0.8125,16
19,8,Switzerland,evaluate,0.0863,0.7143,7
19,2,Cleveland,evaluate,0.0481,0.7647,17
19,7,Switzerland,evaluate,0.0391,0.8571,7
19,0,Cleveland,evaluate,0.0344,0.7500,16
19,11,VA_Long_Beach,evaluate,0.0268,0.9091,11
